knowledge_source,dataset,id,claim,gold_label,predicted_label,evidence
Wikipedia API,tweets_en,EN-01,"Astronomers found a planet that has no land, no continents, just water from pole to pole. And its may even run deeper than anything on Earth. They have a name for this true 'water world': TOI-1452 b.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-05,"BREAKING NEWS: 'Negative time' confirmed: Mind-bending experiment shows light can exit a cloud of atoms before it enters, thanks to quantum physics quirk",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-06,"A vaccine that could provide protection against multiple pathogens would be invaluable, particularly during pandemics in which knowledge of the causative pathogen is limited. In a new Science study, researchers found that a nasal vaccine designed to stimulate innate immune",SUPPORTED,REFUTED,
Wikipedia API,tweets_en,EN-08,"he use of antidepressants while pregnant does not raise the children's risk for developmental ​disorders such as autism, according to an analysis of data from more than 25 million pregnancies that appears to contradict assertions ‌by US Health Secretary Robert F. Kennedy Jr",SUPPORTED,REFUTED,
Wikipedia API,tweets_en,EN-09,"Revolution's pancreatic cancer drug doubles survival, boosts quality of life ",SUPPORTED,REFUTED,"31 may – a phase 3 trial published in the new england journal of medicine reports that daraxonrasib, an investigational oral ras(on) inhibitor, nearly doubles median overall survival in patients with previously treated metastatic pancreatic cancer, from 6.6 months with standard chemotherapy to 13.2 "
Wikipedia API,tweets_en,EN-10,The world’s most popular weight-loss and diabetes drugs are linked to a powerful new possible benefit: better outcomes for cancer patients.,UNVERIFIABLE,SUPPORTED,"the use of drugs (whether chemotherapy, hormonal therapy, or targeted therapy) is systemic therapy for cancer: they are introduced into the blood stream (the system) and therefore can treat cancer anywhere in the body. since the 1990s, several novel classes of antiemetics have been developed and com"
Wikipedia API,tweets_en,EN-11,Researchers have found that flavours such as mango and watermelon have a greater impact on how genes function than other flavours Find out how the findings could have a bearing on regulatory and health issues around vaping products and their possible links to cancer and other serious diseases ,UNVERIFIABLE,REFUTED,
Wikipedia API,tweets_en,EN-13,"'Alien' DNA found inside humans ─ it was inserted into our genes, mind-blowing study published in Oct, 2025 says.",UNVERIFIABLE,REFUTED,"the purported interstellar meteorite, technically known as cneos 2014-01-08, impacted earth in 2014, and was determined, based on its hyperbolic trajectory and estimated initial high velocity, to be from beyond the solar system. 27 april
a lineage of h3n8 bird flu is found to infect humans for the f"
Wikipedia API,tweets_en,EN-15,"The researchers found that people who had received at least one COVID vaccine dose had a higher rate of hospitalization for cancer than unvaccinated people. The adjusted hazard ratio was 1.23, meaning about a 23% higher relative rate",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-18,JUST IN: 'Unprecedented' cancer vaccine trial show life-changing results and successfully eradicates entire tumors,UNVERIFIABLE,REFUTED,"this technology is now being used to investigate novel vaccine strategies. scientists achieve a breakthrough in finding a general cure for cancer by attaching malaria proteins to cancer cells, which appears effective on 90% of cancer types. in a world first, gene-edited immune cells are used to trea"
Wikipedia API,tweets_en,EN-19,A new study in Geophysical Research Letters provides robust confirmation that northern hemisphere atmospheric circulation on the largest scale is responding to greenhouse gas emissions.,SUPPORTED,REFUTED,"14 may
astronomers publish supporting evidence of water plume activity on europa, moon of the planet jupiter, based on an updated critical analysis of data obtained from the galileo space probe, which orbited jupiter between 1995 and 2003. on 20 june, nasa reported that the dust storm had grown to c"
Wikipedia API,tweets_en,EN-21,"Children born after a fertility struggle are more likely to show signs of autism and ADHD, according to international researchers who say this link exists regardless of whether the children were conceived using IVF or other infertility treatments.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-22,Does the IPCC Exaggerate Climate Science? A new study finds the IPCC Summary for Policymakers has systematically amplified climate science beyond what the underlying report actually says,UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-24,"A University of Queensland (UQ) research team has developed a novel intranasal formulation of clozapine that could transform the treatment of schizophrenia, potentially reducing the serious side effects of this medication.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-25,Electrical pulses reverse aging in sea squirts: « Findings point toward new strategies for protecting species from environmental shifts and could also have implications for mitigating age-related decline in humans. »,UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_en,EN-30,Bumblebees know how to problem solve their way to a reward.,SUPPORTED,REFUTED,"bumblebees gather nectar to add to the stores in the nest, and pollen to feed their young. === communication and social learning ===
bumblebees do not have ears, and it is not known whether or how well they can hear. bumblebees have also been observed to engage in social learning. furthermore, subse"
Wikipedia API,tweets_es,ES-02,"WARNING: Vaccines containing mercury (thimerosal) cause autism...Vaccine regulators knew this in 1999 and still know it today...
Robert F. Kennedy Jr.
More EVIDENCE that vaccines cause autism?

http://ncbi.nlm.nih.gov/pmc/articles/PMC3878266/",REFUTED,SUPPORTED,
Wikipedia API,tweets_es,ES-05,Bee venom has demonstrated the ability to kill cancer cells by destroying their membranes and triggering apoptosis (programmed cell death). This selective effect makes it a potential ally against cancer.,UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_es,ES-08,"🚨🚨 This doctor explains exactly what each COVID ""vaccine"" did to your immune system and why they were administered every 8 weeks... They knew exactly what they were doing...
▪️ First injection: reduces white blood cell production by 50%...
▪️ The immune system slowly begins to recover...
▪️ 8 weeks later: the second dose arrives while you're still down...
▪️ This time less saline, more toxic load...
Now your immune defense is weakened and your system can't recover as it's designed to... This isn't medicine. It's engineering: attacking your immunity in calculated waves...",REFUTED,SUPPORTED,
Wikipedia API,tweets_es,ES-09,"🚨 STAGE 4 PROSTATE CANCER — TERMINALLY OVERCOME WITHOUT CHEMOTHERAPY! THIS MAN IS LIVING PROOF IN 2026!

Doctors told him he only had 10 months to live.
Stage 4 prostate cancer.

No hope without chemotherapy. He refused. Instead, he turned to Chlorine Dioxide (oral + intravenous) combined with daily CD enemas, plus self-care and nutrition to cleanse and oxygenate his body.

Today? He is healthy, strong, and cancer-free. This is such an incredible story—the kind the medical establishment doesn't want you to see.

Chlorine dioxide oxidizes and destroys what doesn't belong… while real food and self-care rebuild what does. No poison. No radiation. Just results.

This could be the cure they've been hiding for ALL diseases. Share it with someone battling cancer.

The truth is spreading in 2026. Pray for every warrior out there.

Take control of your own health.",REFUTED,SUPPORTED,
Wikipedia API,tweets_es,ES-11,"🚨 BREAKING NEWS: Fenbendazole is linked to remission or near-remission in three patients with stage IV cancer... A new study reports that patients with breast, prostate, and melanoma cancers experienced dramatic tumor regression and long-lasting remission without chemotherapy 👇
✅ Case 1: 83-year-old woman, stage IV breast cancer → Complete remission (3 years)
✅ Case 2: 75-year-old man, stage IV prostate cancer → Near-complete remission (26 months, undetectable PSA)
✅ Case 3: 63-year-old man, stage IV melanoma → Complete remission (11 months)
The results reflect preclinical findings on the anticancer activity of fenbendazole. Like ivermectin, fenbendazole may act as a potent anticancer agent...
https://t.co/miLzBe4bzI",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_es,ES-14,"Removing Skin Warts

Skin warts are closely linked to insulin resistance, which is often caused by chronically high cortisol levels.

High cortisol → high blood sugar → high insulin → abnormal skin cell growth.

By lowering insulin and cortisol levels, the formation of new skin warts is often stopped.",REFUTED,SUPPORTED,
Wikipedia API,tweets_es,ES-16,"GLUTEN
There is a link between gluten consumption and autoimmune diseases such as lupus, multiple sclerosis, and Hashimoto's thyroiditis. All these diseases share the common characteristic of an altered immune system that begins attacking its own organs and tissues. It's as if the body is its own worst enemy, in a desperate attempt to expel what harms it, destroying everything in its path.
The immune system resides primarily in the gut, so any digestive problem can affect its ability to defend itself, leading to more frequent illnesses and a weakened immune system.
Many autoimmune problems are related to gluten consumption, and when gluten is removed from the diet, many people experience an improvement in their ailments and may even see a reversal of them.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_es,ES-17,"The best-selling herbicide is linked to the global rise in celiac disease, gluten intolerance, and irritable bowel syndrome. According to a study by Dr. Samsel and Dr. Seneff, the increase in these diseases coincides with the increased use of the herbicide glyphosate, Roundup.",REFUTED,SUPPORTED,
Wikipedia API,tweets_es,ES-18,"It's the biggest brain hack in history, where self-regulation is impossible.

Scientific societies recommend zero screen time for children under six, and strict limits (1-2 hours) for the rest of the pre-teens and teenagers. https://elmundo.es/espana/2026/04/22/69e8aec9e4d4d8ce778b458f.html",SUPPORTED,REFUTED,
Wikipedia API,tweets_es,ES-19,"Obesity is a major problem affecting one in three people, including children and teenagers. Many of these people consume artificial sweeteners, including aspartame, to try to avoid sugar, but they don't realize they are damaging their central nervous system and brain, possibly permanently. In fact, studies show that aspartame can ""modulate brain neurotransmitters such as dopamine and serotonin.""

Avoid them. I'm not asking you to reduce them; eliminate them from your life completely. You deserve to be healthy, have energy, and enjoy a fulfilling life.",REFUTED,SUPPORTED,
Wikipedia API,tweets_es,ES-20,"One of the neurochemical alterations in ADHD is a dopamine deficiency in the prefrontal cortex, the area responsible for attention, concentration, and planning. That's why these patients have such a strong affinity for screens. What do screens generate in the brain? A LOT OF DOPAMINE.",SUPPORTED,REFUTED,
Wikipedia API,tweets_es,ES-21,"Depression is a biological brain disorder with a genetic component, in which the brain stops producing neurotransmitters such as serotonin, norepinephrine, and dopamine. It requires medical and psychotherapeutic treatment. Let's educate people and families of those with depression.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_es,ES-24,"Turmeric is as effective as ibuprofen in reducing pain and improving function in patients with knee osteoarthritis, but without ibuprofen's side effects. And it also offers numerous additional benefits.",SUPPORTED,REFUTED,
Wikipedia API,tweets_es,ES-25,"I got vaccinated last week and I did have side effects. I didn't get a fever, feel unwell, have the flu, or anything like that.
The vaccine affected my menstrual cycle, and it's important that this is discussed and mentioned. I'm not the only one.",UNVERIFIABLE,REFUTED,
Wikipedia API,tweets_es,ES-26,"Your testosterone starts to decline at 35. By 50, many men have clinically low levels without knowing it. It's not ""getting old."" It's andropause. And it's treatable. Something no doctor will tell you—and that exercise can reverse. 🧵",UNVERIFIABLE,REFUTED,
Wikipedia API,tweets_es,ES-27,"Patients in rooms with southeast-facing windows, which receive more morning sunlight, recover faster. They have stays between 16% and 41% shorter than patients in rooms with northwest-facing windows.",UNVERIFIABLE,SUPPORTED,
Wikipedia API,tweets_es,ES-30,"The ketogenic diet shows promise in treating anorexia nervosa: three out of four patients improve.

🥗 A high-fat diet to combat one of the most serious eating disorders seems like a contradiction.

🫕 However, a clinical trial reveals that the ketogenic diet could reduce the symptoms of anorexia nervosa without causing weight loss and help most patients recover. https://rexmolon.es/rexmolon-producciones-noticias-de-generacion-de-contenidos-de-divulgacion-cientifica-y-tecnologica-y-de-innovacion-y-desarrollo/la-dieta-cetognica-se-muestra-prometedora-para-tratar-la-anorexia-nerviosa-tres-de-cada-cuatro-pacientes-mejoran",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-01,"Astronomers found a planet that has no land, no continents, just water from pole to pole. And its may even run deeper than anything on Earth. They have a name for this true 'water world': TOI-1452 b.",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-05,"BREAKING NEWS: 'Negative time' confirmed: Mind-bending experiment shows light can exit a cloud of atoms before it enters, thanks to quantum physics quirk",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-06,"A vaccine that could provide protection against multiple pathogens would be invaluable, particularly during pandemics in which knowledge of the causative pathogen is limited. In a new Science study, researchers found that a nasal vaccine designed to stimulate innate immune",SUPPORTED,REFUTED,
PubMed API,tweets_en,EN-10,The world’s most popular weight-loss and diabetes drugs are linked to a powerful new possible benefit: better outcomes for cancer patients.,UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-11,Researchers have found that flavours such as mango and watermelon have a greater impact on how genes function than other flavours Find out how the findings could have a bearing on regulatory and health issues around vaping products and their possible links to cancer and other serious diseases ,UNVERIFIABLE,REFUTED,
PubMed API,tweets_en,EN-13,"'Alien' DNA found inside humans ─ it was inserted into our genes, mind-blowing study published in Oct, 2025 says.",UNVERIFIABLE,REFUTED,
PubMed API,tweets_en,EN-15,"The researchers found that people who had received at least one COVID vaccine dose had a higher rate of hospitalization for cancer than unvaccinated people. The adjusted hazard ratio was 1.23, meaning about a 23% higher relative rate",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-18,JUST IN: 'Unprecedented' cancer vaccine trial show life-changing results and successfully eradicates entire tumors,UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-21,"Children born after a fertility struggle are more likely to show signs of autism and ADHD, according to international researchers who say this link exists regardless of whether the children were conceived using IVF or other infertility treatments.",UNVERIFIABLE,SUPPORTED,"subfecundity, infertility treatment, and child neurodevelopment. increasing numbers of children are conceived using infertility treatment; concerns remain about potential effects on child neurodevelopment. to evaluate whether infertility treatment is associated with child neurodevelopment and whethe"
PubMed API,tweets_en,EN-22,Does the IPCC Exaggerate Climate Science? A new study finds the IPCC Summary for Policymakers has systematically amplified climate science beyond what the underlying report actually says,UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-24,"A University of Queensland (UQ) research team has developed a novel intranasal formulation of clozapine that could transform the treatment of schizophrenia, potentially reducing the serious side effects of this medication.",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_en,EN-25,Electrical pulses reverse aging in sea squirts: « Findings point toward new strategies for protecting species from environmental shifts and could also have implications for mitigating age-related decline in humans. »,UNVERIFIABLE,SUPPORTED,"electrical stimulation promotes longevity and regeneration in a colonial chordate. endogenous bioelectric currents regulate development and regeneration, but their influence on organismal longevity and stem cell-mediated repair is not well understood. we demonstrate that a brief, clinically safe pul"
PubMed API,tweets_en,EN-30,Bumblebees know how to problem solve their way to a reward.,SUPPORTED,REFUTED,
PubMed API,tweets_es,ES-02,"WARNING: Vaccines containing mercury (thimerosal) cause autism...Vaccine regulators knew this in 1999 and still know it today...
Robert F. Kennedy Jr.
More EVIDENCE that vaccines cause autism?

http://ncbi.nlm.nih.gov/pmc/articles/PMC3878266/",REFUTED,SUPPORTED,
PubMed API,tweets_es,ES-05,Bee venom has demonstrated the ability to kill cancer cells by destroying their membranes and triggering apoptosis (programmed cell death). This selective effect makes it a potential ally against cancer.,UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_es,ES-08,"🚨🚨 This doctor explains exactly what each COVID ""vaccine"" did to your immune system and why they were administered every 8 weeks... They knew exactly what they were doing...
▪️ First injection: reduces white blood cell production by 50%...
▪️ The immune system slowly begins to recover...
▪️ 8 weeks later: the second dose arrives while you're still down...
▪️ This time less saline, more toxic load...
Now your immune defense is weakened and your system can't recover as it's designed to... This isn't medicine. It's engineering: attacking your immunity in calculated waves...",REFUTED,SUPPORTED,
PubMed API,tweets_es,ES-09,"🚨 STAGE 4 PROSTATE CANCER — TERMINALLY OVERCOME WITHOUT CHEMOTHERAPY! THIS MAN IS LIVING PROOF IN 2026!

Doctors told him he only had 10 months to live.
Stage 4 prostate cancer.

No hope without chemotherapy. He refused. Instead, he turned to Chlorine Dioxide (oral + intravenous) combined with daily CD enemas, plus self-care and nutrition to cleanse and oxygenate his body.

Today? He is healthy, strong, and cancer-free. This is such an incredible story—the kind the medical establishment doesn't want you to see.

Chlorine dioxide oxidizes and destroys what doesn't belong… while real food and self-care rebuild what does. No poison. No radiation. Just results.

This could be the cure they've been hiding for ALL diseases. Share it with someone battling cancer.

The truth is spreading in 2026. Pray for every warrior out there.

Take control of your own health.",REFUTED,SUPPORTED,
PubMed API,tweets_es,ES-11,"🚨 BREAKING NEWS: Fenbendazole is linked to remission or near-remission in three patients with stage IV cancer... A new study reports that patients with breast, prostate, and melanoma cancers experienced dramatic tumor regression and long-lasting remission without chemotherapy 👇
✅ Case 1: 83-year-old woman, stage IV breast cancer → Complete remission (3 years)
✅ Case 2: 75-year-old man, stage IV prostate cancer → Near-complete remission (26 months, undetectable PSA)
✅ Case 3: 63-year-old man, stage IV melanoma → Complete remission (11 months)
The results reflect preclinical findings on the anticancer activity of fenbendazole. Like ivermectin, fenbendazole may act as a potent anticancer agent...
https://t.co/miLzBe4bzI",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_es,ES-14,"Removing Skin Warts

Skin warts are closely linked to insulin resistance, which is often caused by chronically high cortisol levels.

High cortisol → high blood sugar → high insulin → abnormal skin cell growth.

By lowering insulin and cortisol levels, the formation of new skin warts is often stopped.",REFUTED,SUPPORTED,
PubMed API,tweets_es,ES-16,"GLUTEN
There is a link between gluten consumption and autoimmune diseases such as lupus, multiple sclerosis, and Hashimoto's thyroiditis. All these diseases share the common characteristic of an altered immune system that begins attacking its own organs and tissues. It's as if the body is its own worst enemy, in a desperate attempt to expel what harms it, destroying everything in its path.
The immune system resides primarily in the gut, so any digestive problem can affect its ability to defend itself, leading to more frequent illnesses and a weakened immune system.
Many autoimmune problems are related to gluten consumption, and when gluten is removed from the diet, many people experience an improvement in their ailments and may even see a reversal of them.",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_es,ES-17,"The best-selling herbicide is linked to the global rise in celiac disease, gluten intolerance, and irritable bowel syndrome. According to a study by Dr. Samsel and Dr. Seneff, the increase in these diseases coincides with the increased use of the herbicide glyphosate, Roundup.",REFUTED,SUPPORTED,
PubMed API,tweets_es,ES-18,"It's the biggest brain hack in history, where self-regulation is impossible.

Scientific societies recommend zero screen time for children under six, and strict limits (1-2 hours) for the rest of the pre-teens and teenagers. https://elmundo.es/espana/2026/04/22/69e8aec9e4d4d8ce778b458f.html",SUPPORTED,REFUTED,
PubMed API,tweets_es,ES-19,"Obesity is a major problem affecting one in three people, including children and teenagers. Many of these people consume artificial sweeteners, including aspartame, to try to avoid sugar, but they don't realize they are damaging their central nervous system and brain, possibly permanently. In fact, studies show that aspartame can ""modulate brain neurotransmitters such as dopamine and serotonin.""

Avoid them. I'm not asking you to reduce them; eliminate them from your life completely. You deserve to be healthy, have energy, and enjoy a fulfilling life.",REFUTED,SUPPORTED,
PubMed API,tweets_es,ES-20,"One of the neurochemical alterations in ADHD is a dopamine deficiency in the prefrontal cortex, the area responsible for attention, concentration, and planning. That's why these patients have such a strong affinity for screens. What do screens generate in the brain? A LOT OF DOPAMINE.",SUPPORTED,REFUTED,
PubMed API,tweets_es,ES-21,"Depression is a biological brain disorder with a genetic component, in which the brain stops producing neurotransmitters such as serotonin, norepinephrine, and dopamine. It requires medical and psychotherapeutic treatment. Let's educate people and families of those with depression.",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_es,ES-24,"Turmeric is as effective as ibuprofen in reducing pain and improving function in patients with knee osteoarthritis, but without ibuprofen's side effects. And it also offers numerous additional benefits.",SUPPORTED,REFUTED,
PubMed API,tweets_es,ES-25,"I got vaccinated last week and I did have side effects. I didn't get a fever, feel unwell, have the flu, or anything like that.
The vaccine affected my menstrual cycle, and it's important that this is discussed and mentioned. I'm not the only one.",UNVERIFIABLE,REFUTED,
PubMed API,tweets_es,ES-26,"Your testosterone starts to decline at 35. By 50, many men have clinically low levels without knowing it. It's not ""getting old."" It's andropause. And it's treatable. Something no doctor will tell you—and that exercise can reverse. 🧵",UNVERIFIABLE,REFUTED,
PubMed API,tweets_es,ES-27,"Patients in rooms with southeast-facing windows, which receive more morning sunlight, recover faster. They have stays between 16% and 41% shorter than patients in rooms with northwest-facing windows.",UNVERIFIABLE,SUPPORTED,
PubMed API,tweets_es,ES-30,"The ketogenic diet shows promise in treating anorexia nervosa: three out of four patients improve.

🥗 A high-fat diet to combat one of the most serious eating disorders seems like a contradiction.

🫕 However, a clinical trial reveals that the ketogenic diet could reduce the symptoms of anorexia nervosa without causing weight loss and help most patients recover. https://rexmolon.es/rexmolon-producciones-noticias-de-generacion-de-contenidos-de-divulgacion-cientifica-y-tecnologica-y-de-innovacion-y-desarrollo/la-dieta-cetognica-se-muestra-prometedora-para-tratar-la-anorexia-nerviosa-tres-de-cada-cuatro-pacientes-mejoran",UNVERIFIABLE,SUPPORTED,
